ent_fed,sexo,edad,estudiaron_licenciatura
Morelos,Mujeres,17,0
Morelos,Mujeres,18,983
Morelos,Mujeres,19,2490
Morelos,Mujeres,20,4866
Morelos,Mujeres,21,4871
Morelos,Mujeres,22,5539
Morelos,Mujeres,23,5258
Morelos,Mujeres,24,5272
Nayarit,Hombres,3,0
Nayarit,Hombres,4,0
Nayarit,Hombres,5,0
Nayarit,Hombres,6,0
Nayarit,Hombres,7,0
Nayarit,Hombres,8,0
Nayarit,Hombres,9,0
Nayarit,Hombres,10,0
Nayarit,Hombres,11,0
Nayarit,Hombres,12,0
Nayarit,Hombres,13,0
Nayarit,Hombres,14,0
Nayarit,Hombres,15,0
Nayarit,Hombres,16,0
Nayarit,Hombres,17,0
Nayarit,Hombres,18,483
Nayarit,Hombres,19,1323
Nayarit,Hombres,20,2620
Nayarit,Hombres,21,2843
Nayarit,Hombres,22,3043
Nayarit,Hombres,23,2687
Nayarit,Hombres,24,2820
Nayarit,Mujeres,3,0
Nayarit,Mujeres,4,0
Nayarit,Mujeres,5,0
Nayarit,Mujeres,6,0
Nayarit,Mujeres,7,0
Nayarit,Mujeres,8,0
Nayarit,Mujeres,9,0
Nayarit,Mujeres,10,0
Nayarit,Mujeres,11,0
Nayarit,Mujeres,12,0
Nayarit,Mujeres,13,0
Nayarit,Mujeres,14,0
Nayarit,Mujeres,15,0
Nayarit,Mujeres,16,0
Nayarit,Mujeres,17,0
Nayarit,Mujeres,18,596
Nayarit,Mujeres,19,1849
Nayarit,Mujeres,20,3438
Nayarit,Mujeres,21,3329
Nayarit,Mujeres,22,3482
Nayarit,Mujeres,23,3362
Nayarit,Mujeres,24,3421
Nuevo León,Hombres,3,0
Nuevo León,Hombres,4,0
Nuevo León,Hombres,5,0
Nuevo León,Hombres,6,0
Nuevo León,Hombres,7,0
Nuevo León,Hombres,8,0
Nuevo León,Hombres,9,0
Nuevo León,Hombres,10,0
Nuevo León,Hombres,11,0
Nuevo León,Hombres,12,0
Nuevo León,Hombres,13,0
Nuevo León,Hombres,14,0
Nuevo León,Hombres,15,0
Nuevo León,Hombres,16,0
Nuevo León,Hombres,17,0
Nuevo León,Hombres,18,6318
Nuevo León,Hombres,19,9660
Nuevo León,Hombres,20,13838
Nuevo León,Hombres,21,13671
Nuevo León,Hombres,22,14715
Nuevo León,Hombres,23,14723
Nuevo León,Hombres,24,14863
Nuevo León,Mujeres,3,0
Nuevo León,Mujeres,4,0
Nuevo León,Mujeres,5,0
Nuevo León,Mujeres,6,0
Nuevo León,Mujeres,7,0
Nuevo León,Mujeres,8,0
Nuevo León,Mujeres,9,0
Nuevo León,Mujeres,10,0
Nuevo León,Mujeres,11,0
Nuevo León,Mujeres,12,0
Nuevo León,Mujeres,13,0
Nuevo León,Mujeres,14,0
Nuevo León,Mujeres,15,0
Nuevo León,Mujeres,16,0
Nuevo León,Mujeres,17,0
Nuevo León,Mujeres,18,7419
Nuevo León,Mujeres,19,11037
Nuevo León,Mujeres,20,15453
Nuevo León,Mujeres,21,14723
Nuevo León,Mujeres,22,15562
Nuevo León,Mujeres,23,15211
Nuevo León,Mujeres,24,15401
Oaxaca,Hombres,3,0
Oaxaca,Hombres,4,0
Oaxaca,Hombres,5,0
Oaxaca,Hombres,6,0
Oaxaca,Hombres,7,0
Oaxaca,Hombres,8,0
Oaxaca,Hombres,9,0
